Onset	Fricative	Offset	Filename
Onset-sh_s_06_embassy	Fricative-sh_s_06_embassy	Offset-sh_s_06_embassy	shshsh_s_06_embassy
Onset-sh_s_07_episode	Fricative-sh_s_07_episode	Offset-sh_s_07_episode	shshsh_s_07_episode
Onset-sh_s_08_eraser	Fricative-sh_s_08_eraser	Offset-sh_s_08_eraser	shshsh_s_08_eraser
Onset-sh_s_09_hallucinate	Fricative-sh_s_09_hallucinate	Offset-sh_s_09_hallucinate	shshsh_s_09_hallucinate
Onset-sh_s_10_legacy	Fricative-sh_s_10_legacy	Offset-sh_s_10_legacy	shshsh_s_10_legacy
Onset-sh_s_11_literacy	Fricative-sh_s_11_literacy	Offset-sh_s_11_literacy	shshsh_s_11_literacy
Onset-sh_s_12_medicine	Fricative-sh_s_12_medicine	Offset-sh_s_12_medicine	shshsh_s_12_medicine
Onset-sh_s_13_obscene	Fricative-sh_s_13_obscene	Offset-sh_s_13_obscene	shshsh_s_13_obscene
Onset-sh_s_14_parasite	Fricative-sh_s_14_parasite	Offset-sh_s_14_parasite	shshsh_s_14_parasite
Onset-sh_s_15_peninsula	Fricative-sh_s_15_peninsula	Offset-sh_s_15_peninsula	shshsh_s_15_peninsula
Onset-sh_s_16_personal	Fricative-sh_s_16_personal	Offset-sh_s_16_personal	shshsh_s_16_personal
Onset-sh_s_17_pregnancy	Fricative-sh_s_17_pregnancy	Offset-sh_s_17_pregnancy	shshsh_s_17_pregnancy
Onset-sh_s_18_reconcile	Fricative-sh_s_18_reconcile	Offset-sh_s_18_reconcile	shshsh_s_18_reconcile
Onset-sh_s_19_rehearsal	Fricative-sh_s_19_rehearsal	Offset-sh_s_19_rehearsal	shshsh_s_19_rehearsal
Onset-sh_s_20_Tennessee	Fricative-sh_s_20_Tennessee	Offset-sh_s_20_Tennessee	shshsh_s_20_Tennessee
Onset-sh_sh_01_ambition	Fricative-sh_sh_01_ambition	Offset-sh_sh_01_ambition	shshsh_sh_01_ambition
Onset-sh_sh_02_beneficial	Fricative-sh_sh_02_beneficial	Offset-sh_sh_02_beneficial	shshsh_sh_02_beneficial
Onset-sh_sh_03_brochure	Fricative-sh_sh_03_brochure	Offset-sh_sh_03_brochure	shshsh_sh_03_brochure
Onset-sh_sh_04_commercial	Fricative-sh_sh_04_commercial	Offset-sh_sh_04_commercial	shshsh_sh_04_commercial
