Onset	Fricative	Offset	Filename
Onset-sh_s_05_dinosaur	Fricative-f1_s_05_dinosaur	Offset-sh_s_05_dinosaur	shf1sh_s_05_dinosaur
Onset-sh_s_06_embassy	Fricative-f1_s_06_embassy	Offset-sh_s_06_embassy	shf1sh_s_06_embassy
Onset-sh_s_07_episode	Fricative-f1_s_07_episode	Offset-sh_s_07_episode	shf1sh_s_07_episode
Onset-sh_s_08_eraser	Fricative-f1_s_08_eraser	Offset-sh_s_08_eraser	shf1sh_s_08_eraser
Onset-sh_s_09_hallucinate	Fricative-f1_s_09_hallucinate	Offset-sh_s_09_hallucinate	shf1sh_s_09_hallucinate
Onset-sh_s_10_legacy	Fricative-f1_s_10_legacy	Offset-sh_s_10_legacy	shf1sh_s_10_legacy
Onset-sh_s_11_literacy	Fricative-f1_s_11_literacy	Offset-sh_s_11_literacy	shf1sh_s_11_literacy
Onset-sh_s_12_medicine	Fricative-f1_s_12_medicine	Offset-sh_s_12_medicine	shf1sh_s_12_medicine
Onset-sh_s_13_obscene	Fricative-f1_s_13_obscene	Offset-sh_s_13_obscene	shf1sh_s_13_obscene
Onset-sh_s_14_parasite	Fricative-f1_s_14_parasite	Offset-sh_s_14_parasite	shf1sh_s_14_parasite
Onset-sh_s_15_peninsula	Fricative-f1_s_15_peninsula	Offset-sh_s_15_peninsula	shf1sh_s_15_peninsula
Onset-sh_s_16_personal	Fricative-f1_s_16_personal	Offset-sh_s_16_personal	shf1sh_s_16_personal
Onset-sh_s_17_pregnancy	Fricative-f1_s_17_pregnancy	Offset-sh_s_17_pregnancy	shf1sh_s_17_pregnancy
Onset-sh_s_18_reconcile	Fricative-f1_s_18_reconcile	Offset-sh_s_18_reconcile	shf1sh_s_18_reconcile
Onset-sh_s_19_rehearsal	Fricative-f1_s_19_rehearsal	Offset-sh_s_19_rehearsal	shf1sh_s_19_rehearsal
Onset-sh_s_20_Tennessee	Fricative-f1_s_20_Tennessee	Offset-sh_s_20_Tennessee	shf1sh_s_20_Tennessee
Onset-sh_sh_01_ambition	Fricative-f1_sh_01_ambition	Offset-sh_sh_01_ambition	shf1sh_sh_01_ambition
Onset-sh_sh_02_beneficial	Fricative-f1_sh_02_beneficial	Offset-sh_sh_02_beneficial	shf1sh_sh_02_beneficial
Onset-sh_sh_03_brochure	Fricative-f1_sh_03_brochure	Offset-sh_sh_03_brochure	shf1sh_sh_03_brochure
Onset-sh_sh_04_commercial	Fricative-f1_sh_04_commercial	Offset-sh_sh_04_commercial	shf1sh_sh_04_commercial
Onset-sh_sh_05_crucial	Fricative-f1_sh_05_crucial	Offset-sh_sh_05_crucial	shf1sh_sh_05_crucial
Onset-sh_sh_06_efficient	Fricative-f1_sh_06_efficient	Offset-sh_sh_06_efficient	shf1sh_sh_06_efficient
Onset-sh_sh_07_flourishing	Fricative-f1_sh_07_flourishing	Offset-sh_sh_07_flourishing	shf1sh_sh_07_flourishing
Onset-sh_sh_08_glacier	Fricative-f1_sh_08_glacier	Offset-sh_sh_08_glacier	shf1sh_sh_08_glacier
